address_code,sd_name,ssg_name,gemd_name,total_gov,total_prv,total_com
,경북,구미시,,556,227969,7204
,경북,군위군,,0,36,5
,경북,김천시,,410,79608,2202
,경북,문경시,,289,38954,884
,경북,봉화군,,255,18852,193
,경북,상주시,,438,56784,1874
,경북,성주군,,216,32827,1279
,경북,안동시,,835,88285,2715
,경북,영덕군,,264,19972,307
,경북,영양군,,184,11048,123
,경북,영주시,,378,58280,1479
,경북,영천시,,389,62974,2467
,경북,예천군,,299,33205,511
,경북,울릉군,,147,6069,469
,경북,울진군,,339,28757,362
,경북,의성군,,305,33455,1151
,경북,청도군,,232,26806,1003
,경북,청송군,,218,17004,216
,경북,칠곡군,,303,70659,2529
,경북,포항시,남구,458,124018,7828
,경북,포항시,북구,403,155217,3917
,경남,거제시,,379,112290,2128
,경남,거창군,,295,35442,797
,경남,고성군,,234,27950,548
,경남,김해시,,702,299764,8266
,경남,남해군,,301,22127,425
,경남,밀양시,,326,59410,3917
,경남,사천시,,337,61694,1526
,경남,산청군,,259,21923,728
,경남,양산시,,457,186187,10416
,경남,의령군,,223,15582,778
,경남,진주시,,669,175286,6569
,경남,창녕군,,242,36767,722
,경남,창원시,마산합포구,365,102209,2937
,경남,창원시,마산회원구,157,109154,7664
,경남,창원시,성산구,622,163257,18835
,경남,창원시,의창구,558,136531,57970
,경남,창원시,진해구,230,97170,2369
,경남,통영시,,324,53838,1348
,경남,하동군,,252,24778,395
,경남,함안군,,225,45264,29956
,경남,함양군,,249,21347,20732
,경남,합천군,,302,24945,686
,제주,서귀포시,,768,107242,1902
,제주,제주시,,1689,324812,290095
,강원,강릉시,,631,115605,4468
,강원,고성군,,210,16593,294
,강원,동해시,,342,48030,1554
,강원,삼척시,,420,34244,837
,강원,속초시,,324,40580,1316
,강원,양구군,,230,12658,169
,강원,양양군,,224,17289,305
,강원,영월군,,354,22000,402
,강원,원주시,,656,196425,5727
,강원,인제군,,247,20280,288
,강원,정선군,,385,22495,494
,강원,철원군,,281,25047,442
,강원,춘천시,,900,145242,6071
,강원,태백시,,268,19970,658
,강원,평창군,,329,27363,474
,강원,홍천군,,456,41380,1093
,강원,화천군,,231,13539,159
,강원,횡성군,,296,29455,964
,전북,고창군,,351,32695,611
,전북,군산시,,567,141029,6419
,전북,김제시,,337,51831,1869
,전북,남원시,,442,43771,1094
,전북,무주군,,224,14119,399
,전북,부안군,,313,28876,606
,전북,순창군,,240,17148,190
,전북,완주군,,487,63035,3274
,전북,익산시,,561,145284,5875
,전북,임실군,,272,15428,428
,전북,장수군,,238,13280,167
,전북,전주시,덕진구,419,171646,6916
,전북,전주시,완산구,792,154980,4352
,전북,정읍시,,387,58961,1867
,전북,진안군,,294,15499,281
