월(Monthly)	시도명	시군구	승용	승용	승용	승용	승합	승합	승합	승합	화물	화물	화물	화물	특수	특수	특수	특수	총계	총계	총계	총계
월(Monthly)	시도명	시군구	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계
2026-02	부산	사하구	111	91,824	3,462	95,397	50	2,449	264	2,763	103	12,499	1,987	14,589	9	228	264	501	273	107,000	5,977	113,250
2026-02	부산	서구	64	26,384	362	26,810	31	782	18	831	40	3,573	871	4,484	0	74	84	158	135	30,813	1,335	32,283
2026-02	부산	수영구	86	57,656	63,086	120,828	37	1,321	666	2,024	81	5,190	1,186	6,457	12	148	336	496	216	64,315	65,274	129,805
2026-02	부산	연제구	362	117,551	26,275	144,188	490	1,640	772	2,902	181	8,842	2,349	11,372	29	211	720	960	1,062	128,244	30,116	159,422
2026-02	부산	영도구	86	26,100	1,227	27,413	51	871	315	1,237	83	3,913	383	4,379	9	50	55	114	229	30,934	1,980	33,143
2026-02	부산	중구	153	36,393	123	36,669	60	443	4	507	77	1,752	5,384	7,213	17	103	1,702	1,822	307	38,691	7,213	46,211
2026-02	부산	해운대구	137	142,998	2,037	145,172	56	2,633	235	2,924	124	12,213	2,238	14,575	9	345	489	843	326	158,189	4,999	163,514
2026-02	부산	계	1,890	1,206,887	143,252	1,352,029	1,255	26,132	6,258	33,645	1,602	143,666	36,249	181,517	160	3,407	9,087	12,654	4,907	1,380,092	194,846	1,579,845
2026-02	대구	군위군	48	10,264	68	10,380	35	356	21	412	55	5,297	146	5,498	3	69	19	91	141	15,986	254	16,381
2026-02	대구	남구	110	48,759	907	49,776	213	1,179	113	1,505	78	6,085	507	6,670	3	135	57	195	404	56,158	1,584	58,146
2026-02	대구	달서구	188	238,742	21,674	260,604	112	4,260	726	5,098	180	28,561	5,444	34,185	16	656	608	1,280	496	272,219	28,452	301,167
2026-02	대구	달성군	123	117,466	1,475	119,064	117	2,631	495	3,243	292	19,271	2,871	22,434	66	431	288	785	598	139,799	5,129	145,526
2026-02	대구	동구	114	142,766	4,272	147,152	87	3,029	723	3,839	157	19,107	3,937	23,201	10	497	530	1,037	368	165,399	9,462	175,229
2026-02	대구	북구	166	170,261	2,528	172,955	121	3,388	649	4,158	227	27,562	4,482	32,271	29	600	436	1,065	543	201,811	8,095	210,449
2026-02	대구	서구	93	61,349	3,101	64,543	41	1,563	197	1,801	122	10,706	1,532	12,360	9	179	111	299	265	73,797	4,941	79,003
2026-02	대구	수성구	195	194,817	2,796	197,808	187	2,799	599	3,585	212	15,175	1,406	16,793	14	504	171	689	608	213,295	4,972	218,875
2026-02	대구	중구	89	50,788	1,159	52,036	68	989	314	1,371	146	4,217	483	4,846	17	108	29	154	320	56,102	1,985	58,407
2026-02	대구	계	1,126	1,035,212	37,980	1,074,318	981	20,194	3,837	25,012	1,469	135,981	20,808	158,258	167	3,179	2,249	5,595	3,743	1,194,566	64,874	1,263,183
2026-02	인천	강화군	149	28,207	2,367	30,723	55	1,041	271	1,367	159	10,809	769	11,737	11	268	89	368	374	40,325	3,496	44,195
2026-02	인천	계양구	111	94,250	101,504	195,865	59	2,799	1,514	4,372	110	15,646	2,915	18,671	17	333	332	682	297	113,028	106,265	219,590
2026-02	인천	남동구	365	223,023	19,275	242,663	456	4,447	762	5,665	167	27,464	3,661	31,292	29	596	493	1,118	1,017	255,530	24,191	280,738
2026-02	인천	동구	39	19,822	898	20,759	35	783	73	891	34	3,280	1,338	4,652	2	95	318	415	110	23,980	2,627	26,717
2026-02	인천	미추홀구	191	144,001	12,691	156,883	95	3,696	75	3,866	138	16,729	5,327	22,194	18	462	844	1,324	442	164,888	18,937	184,267
2026-02	인천	부평구	147	197,031	30,683	227,861	79	3,940	1,021	5,040	101	19,398	3,109	22,608	9	471	293	773	336	220,840	35,106	256,282
2026-02	인천	서구	227	280,244	5,906	286,377	107	5,773	1,397	7,277	190	33,845	6,628	40,663	33	849	800	1,682	557	320,711	14,731	335,999
2026-02	인천	연수구	163	215,912	5,682	221,757	92	2,889	725	3,706	138	12,292	3,650	16,080	13	435	536	984	406	231,528	10,593	242,527
2026-02	인천	옹진군	74	10,265	39,274	49,613	52	569	635	1,256	126	15,080	60	15,266	3	148	13	164	255	26,062	39,982	66,299
2026-02	인천	중구	273	76,662	1,021	77,956	154	1,745	790	2,689	187	8,456	8,319	16,962	18	378	1,651	2,047	632	87,241	11,781	99,654
2026-02	인천	계	1,739	1,289,417	219,301	1,510,457	1,184	27,682	7,263	36,129	1,350	162,999	35,776	200,125	153	4,035	5,369	9,557	4,426	1,484,133	267,709	1,756,268
2026-02	광주	광산구	242	175,822	3,961	180,025	143	3,896	396	4,435	198	26,278	7,923	34,399	31	785	935	1,751	614	206,781	13,215	220,610
2026-02	광주	남구	89	84,349	849	85,287	49	1,715	446	2,210	88	8,526	1,008	9,622	11	255	178	444	237	94,845	2,481	97,563
2026-02	광주	동구	94	42,423	415	42,932	55	829	125	1,009	100	4,011	394	4,505	10	117	73	200	259	47,380	1,007	48,646
2026-02	광주	북구	180	173,622	4,421	178,223	201	3,537	980	4,718	218	22,420	3,636	26,274	20	625	530	1,175	619	200,204	9,567	210,390
2026-02	광주	서구	304	127,931	3,679	131,914	151	2,822	332	3,305	228	14,968	1,731	16,927	23	434	216	673	706	146,155	5,958	152,819
2026-02	광주	계	909	604,147	13,325	618,381	599	12,799	2,279	15,677	832	76,203	14,692	91,727	95	2,216	1,932	4,243	2,435	695,365	32,228	730,028
2026-02	대전	대덕구	84	72,258	1,904	74,246	46	1,840	547	2,433	109	13,390	3,930	17,429	10	356	448	814	249	87,844	6,829	94,922
2026-02	대전	동구	87	79,047	2,981	82,115	55	2,121	441	2,617	101	12,661	1,663	14,425	13	317	222	552	256	94,146	5,307	99,709
2026-02	대전	서구	303	189,386	27,329	217,018	318	3,741	470	4,529	203	18,256	2,421	20,880	32	557	480	1,069	856	211,940	30,700	243,496
2026-02	대전	유성구	121	180,187	2,363	182,671	95	2,834	353	3,282	477	15,315	2,439	18,231	27	665	297	989	720	199,001	5,452	205,173
2026-02	대전	중구	96	85,083	2,311	87,490	49	2,228	413	2,690	78	11,740	2,138	13,956	8	307	265	580	231	99,358	5,127	104,716
2026-02	대전	계	691	605,961	36,888	643,540	563	12,764	2,224	15,551	968	71,362	12,591	84,921	90	2,202	1,712	4,004	2,312	692,289	53,415	748,016
2026-02	울산	남구	329	141,166	2,822	144,317	223	2,464	573	3,260	241	15,916	3,326	19,483	23	381	613	1,017	816	159,927	7,334	168,077
